filename,add_lines,del_lines
.gitignore,3,0
README.md,9,0
benchmark/src/jmh/kotlin/kotlinx/benchmarks/json/JacksonComparisonBenchmark.kt,5,0
build.gradle,11,3
buildSrc/src/main/kotlin/Bom.kt,22,0
buildSrc/src/main/kotlin/Java9Modularity.kt,3,0
core/commonMain/src/kotlinx/serialization/SealedSerializer.kt,10,4
core/commonMain/src/kotlinx/serialization/descriptors/SerialDescriptors.kt,1,1
core/commonMain/src/kotlinx/serialization/internal/Platform.common.kt,13,19
core/commonMain/src/kotlinx/serialization/modules/SerializersModule.kt,1,1
core/jsMain/src/kotlinx/serialization/internal/Platform.kt,1,4
core/jvmMain/src/kotlinx/serialization/SerializersJvm.kt,2,2
core/jvmMain/src/kotlinx/serialization/internal/Caching.kt,43,2
core/jvmMain/src/kotlinx/serialization/internal/Platform.kt,1,19
core/nativeMain/src/kotlinx/serialization/internal/Platform.kt,3,10
docs/basic-serialization.md,1,1
docs/building.md,19,10
docs/json.md,1,1
docs/polymorphism.md,3,3
docs/serializers.md,1,1
formats/README.md,8,0
formats/hocon/build.gradle,1,0
formats/hocon/src/main/kotlin/kotlinx/serialization/hocon/Hocon.kt,10,2
formats/hocon/src/main/kotlin/kotlinx/serialization/hocon/HoconEncoder.kt,39,10
formats/hocon/src/test/kotlin/kotlinx/serialization/hocon/HoconDurationDeserializerTest.kt,0,114
formats/hocon/src/test/kotlin/kotlinx/serialization/hocon/HoconDurationTest.kt,196,0
formats/json-tests/commonTest/src/kotlinx/serialization/features/sealed/SealedDiamondTest.kt,12,3
formats/json-tests/jvmTest/resources/class_loaders/classes/example/Foo$$serializer.class,0,0
formats/json-tests/jvmTest/resources/class_loaders/classes/example/Foo$Companion.class,0,0
formats/json-tests/jvmTest/resources/class_loaders/classes/example/Foo.class,0,0
formats/json-tests/jvmTest/src/kotlinx/serialization/SerializerByTypeCacheTest.kt,119,0
formats/json-tests/jvmTest/src/kotlinx/serialization/json/JsonConcurrentStressTest.kt,78,0
formats/json-tests/jvmTest/src/kotlinx/serialization/json/ParallelJsonStressTest.kt,0,22
formats/json/commonMain/src/kotlinx/serialization/json/internal/CharArrayPool.common.kt,9,0
formats/json/commonMain/src/kotlinx/serialization/json/internal/JsonStreams.kt,9,5
formats/json/commonMain/src/kotlinx/serialization/json/internal/lexer/JsonLexer.kt,7,3
formats/json/jsMain/src/kotlinx/serialization/json/internal/CharArrayPool.kt,12,0
formats/json/jvmMain/src/kotlinx/serialization/json/JvmStreams.kt,6,1
formats/json/jvmMain/src/kotlinx/serialization/json/internal/ByteArrayPool.kt,0,30
formats/json/jvmMain/src/kotlinx/serialization/json/internal/CharArrayPool.kt,26,58
formats/json/jvmMain/src/kotlinx/serialization/json/internal/CharsetReader.kt,124,0
formats/json/jvmMain/src/kotlinx/serialization/json/internal/JvmJsonStreams.kt,18,10
formats/json/jvmMain/src/kotlinx/serialization/json/internal/{CharArrayPool.kt,,
formats/json/nativeMain/src/kotlinx/serialization/json/internal/CharArrayPool.kt,9,0
gradle.properties,2,1
gradle/configure-source-sets.gradle,7,1
guide/build.gradle,4,0
guide/test/BasicSerializationTest.kt,1,1
guide/test/PolymorphismTest.kt,3,3
guide/test/SerializersTest.kt,1,1
