filename,add_lines,del_lines
CHANGELOG.md,11,0
README.md,5,4
build.gradle,3,1
examples/example-multiplatform/build.gradle,5,6
examples/example-multiplatform/gradle.properties,5,1
examples/gradle.properties,5,1
examples/gradle/node-js.gradle,0,32
examples/gradle/test-mocha-js.gradle,0,58
examples/gradle/wrapper/gradle-wrapper.properties,5,1
formats/README.md,19,0
formats/config/src/main/kotlin/org/jetbrains/kotlinx/serialization/config/ConfigReader.kt,13,0
formats/config/src/test/kotlin/org/jetbrains/kotlinx/serialization/config/ConfigParserObjectsTest.kt,4,3
formats/config/src/test/kotlin/org/jetbrains/kotlinx/serialization/config/ConfigParserValuesTest.kt,18,1
gradle.properties,1,1
gradle/wrapper/gradle-wrapper.properties,5,1
integration-test/build.gradle,5,6
integration-test/gradle.properties,1,1
integration-test/gradle/node-js.gradle,0,32
integration-test/gradle/test-mocha-js.gradle,0,58
integration-test/gradle/wrapper/gradle-wrapper.properties,5,1
integration-test/src/jvmTest/kotlin/sample/SampleTestsJVM.kt,14,1
runtime/build.gradle,3,0
runtime/commonMain/src/kotlinx/serialization/Annotations.kt,13,1
runtime/commonMain/src/kotlinx/serialization/Descriptors.kt,1,1
runtime/commonMain/src/kotlinx/serialization/PlatformUtils.kt,8,0
runtime/commonMain/src/kotlinx/serialization/SerializerResolving.kt,1,1
runtime/commonMain/src/kotlinx/serialization/Tagged.kt,2,2
runtime/commonMain/src/kotlinx/serialization/internal/CollectionDescriptors.kt,15,0
runtime/commonMain/src/kotlinx/serialization/internal/CollectionSerializers.kt,148,85
runtime/commonMain/src/kotlinx/serialization/internal/GeneratedSerializer.kt,7,3
runtime/commonMain/src/kotlinx/serialization/internal/NullableSerializer.kt,42,23
runtime/commonMain/src/kotlinx/serialization/internal/PrimitiveArraysSerializers.kt,442,40
runtime/commonMain/src/kotlinx/serialization/internal/Primitives.kt,4,14
runtime/commonMain/src/kotlinx/serialization/internal/SerialClassDescImpl.kt,1,13
runtime/commonMain/src/kotlinx/serialization/internal/Tuples.kt,6,1
runtime/commonMain/src/kotlinx/serialization/modules/StandardSubtypesOfAny.kt,12,24
runtime/commonMain/src/kotlinx/serialization/protobuf/ProtoBuf.kt,11,11
runtime/commonTest/src/kotlinx/serialization/cbor/CborRootLevelNullsTest.kt,1,1
runtime/commonTest/src/kotlinx/serialization/features/ByteArraySerializerTest.kt,73,0
runtime/commonTest/src/kotlinx/serialization/features/PrimitiveArraySerializersTest.kt,67,0
runtime/commonTest/src/kotlinx/serialization/json/JsonRootLevelNullTest.kt,2,2
runtime/jsMain/src/kotlinx/serialization/Serialization.kt,3,13
runtime/jvmJsTest/src/kotlinx/serialization/MapperTest.kt,20,0
runtime/jvmMain/src/kotlinx/serialization/Serialization.kt,9,15
runtime/nativeMain/src/kotlinx/serialization/Platform.kt,2,0
