filename,add_lines,del_lines
CHANGELOG.md,14,0
README.md,8,6
build.gradle,11,2
docs/polymorphism.md,75,31
examples/example-jvm/src/CustomBinaryDemo.kt,2,2
examples/example-jvm/src/CustomKeyValueDemo.kt,2,2
examples/example-visitors/src/main/kotlin/kotlinx/serialization/schema/Visitors.kt,1,1
examples/gradle.properties,2,2
formats/config/src/main/kotlin/org/jetbrains/kotlinx/serialization/config/ConfigReader.kt,4,17
gradle.properties,3,3
gradle/publishing.gradle,3,8
integration-test/gradle.properties,2,2
integration-test/src/commonMain/kotlin/sample/Helpers.kt,1,1
runtime/common/src/main/kotlin/kotlinx/serialization/internal/ObjectSerializer.kt,49,49
runtime/common/src/testWithNative/kotlinx/serialization/features/ObjectSerialization.kt,58,58
runtime/commonMain/src/kotlinx/serialization/Coders.kt,3,16
runtime/commonMain/src/kotlinx/serialization/Descriptors.kt,42,23
runtime/commonMain/src/kotlinx/serialization/ElementWise.kt,6,17
runtime/commonMain/src/kotlinx/serialization/Polymorphic.kt,22,88
runtime/commonMain/src/kotlinx/serialization/SealedSerializer.kt,138,21
runtime/commonMain/src/kotlinx/serialization/SerialFormat.kt,0,1
runtime/commonMain/src/kotlinx/serialization/Shorthands.kt,14,21
runtime/commonMain/src/kotlinx/serialization/Tagged.kt,6,37
runtime/commonMain/src/kotlinx/serialization/cbor/Cbor.kt,7,51
runtime/commonMain/src/kotlinx/serialization/cbor/Deprecated.kt,0,9
runtime/commonMain/src/kotlinx/serialization/internal/AbstractPolymorphicSerializer.kt,115,13
runtime/commonMain/src/kotlinx/serialization/internal/Enums.kt,49,30
runtime/commonMain/src/kotlinx/serialization/internal/LongAsStringSerializer.kt,1,13
runtime/commonMain/src/kotlinx/serialization/internal/ObjectSerializer.kt,86,31
runtime/commonMain/src/kotlinx/serialization/internal/SerialClassDescImpl.kt,0,1
runtime/commonMain/src/kotlinx/serialization/internal/Tuples.kt,0,27
runtime/commonMain/src/kotlinx/serialization/internal/Util.kt,3,21
runtime/commonMain/src/kotlinx/serialization/json/Deprecated.kt,0,54
runtime/commonMain/src/kotlinx/serialization/json/JsonElement.kt,2,2
runtime/commonMain/src/kotlinx/serialization/json/JsonElementSerializer.kt,1,1
runtime/commonMain/src/kotlinx/serialization/json/internal/Polymorphic.kt,6,5
runtime/commonMain/src/kotlinx/serialization/json/internal/StreamingJsonInput.kt,4,3
runtime/commonMain/src/kotlinx/serialization/json/internal/StreamingJsonOutput.kt,4,5
runtime/commonMain/src/kotlinx/serialization/json/internal/TreeJsonInput.kt,2,3
runtime/commonMain/src/kotlinx/serialization/json/internal/TreeJsonOutput.kt,4,5
runtime/commonMain/src/kotlinx/serialization/json/internal/WriteMode.kt,1,1
runtime/commonMain/src/kotlinx/serialization/modules/SerialModuleBuilders.kt,1,4
runtime/commonMain/src/kotlinx/serialization/modules/StandardSubtypesOfAny.kt,4,4
runtime/commonMain/src/kotlinx/serialization/protobuf/ProtoBuf.kt,21,24
runtime/commonMain/src/kotlinx/serialization/protobuf/ProtoTypes.kt,3,15
runtime/commonTest/src/kotlinx/serialization/SampleClasses.kt,12,0
runtime/commonTest/src/kotlinx/serialization/SerializeZooTest.kt,4,22
runtime/commonTest/src/kotlinx/serialization/SerializerResolvingTest.kt,0,1
runtime/commonTest/src/kotlinx/serialization/features/ObjectSerialization.kt,70,7
runtime/commonTest/src/kotlinx/serialization/features/SchemaTest.kt,1,4
runtime/commonTest/src/kotlinx/serialization/features/SealedClassesSerializationTest.kt,263,38
runtime/commonTest/src/kotlinx/serialization/json/JsonMapKeysTest.kt,2,2
runtime/commonTest/src/kotlinx/serialization/json/JsonTestBase.kt,12,1
runtime/commonTest/src/kotlinx/serialization/json/JsonUnionEnumTest.kt,3,3
runtime/commonTest/src/kotlinx/serialization/json/polymorphic/JsonListPolymorphismTest.kt,7,5
runtime/commonTest/src/kotlinx/serialization/json/polymorphic/JsonMapPolymorphismTest.kt,5,5
runtime/commonTest/src/kotlinx/serialization/json/polymorphic/JsonNestedPolymorphismTest.kt,9,7
runtime/commonTest/src/kotlinx/serialization/json/polymorphic/JsonPolymorphicClassDescriptor.kt,4,29
runtime/commonTest/src/kotlinx/serialization/json/polymorphic/JsonPropertyPolymorphicTest.kt,10,8
runtime/commonTest/src/kotlinx/serialization/json/polymorphic/{JsonPolymorphicClassDescriptor.kt,,
runtime/commonTest/src/kotlinx/serialization/json/serializers/JsonNativePrimitivesTest.kt,7,6
runtime/commonTest/src/kotlinx/serialization/kinds/SerializableEnumTest.kt,108,8
runtime/commonTest/src/kotlinx/serialization/protobuf/ProtobufPolymorphismTest.kt,45,0
runtime/commonTest/src/kotlinx/serialization/test/TestingFramework.kt,16,2
runtime/jsMain/src/kotlinx/serialization/DynamicObjectParser.kt,2,15
runtime/jvmMain/src/kotlinx/serialization/Serialization.kt,1,1
runtime/jvmTest/src/kotlinx/serialization/formats/FormatConverterHelpers.kt,91,0
runtime/jvmTest/src/kotlinx/serialization/formats/RandomTests.kt,5,103
runtime/jvmTest/src/kotlinx/serialization/formats/protobuf/ProtobufEnumWithSerialIdTest.kt,39,1
runtime/testProto/test_data.proto,10,1
