filename,add_lines,del_lines
CHANGELOG.md,20,0
README.md,13,8
build.gradle,8,7
example-js/build.gradle,4,2
example-jvm/build.gradle,2,2
example-jvm/pom.xml,2,2
gradle.properties,20,0
runtime/common/src/main/kotlin/kotlinx/io/Streams.kt,3,3
runtime/common/src/main/kotlin/kotlinx/serialization/Scope.kt,2,2
runtime/common/src/main/kotlin/kotlinx/serialization/internal/CollectionSerializers.kt,21,19
runtime/common/src/main/kotlin/kotlinx/serialization/internal/Util.kt,10,12
runtime/common/src/main/kotlin/kotlinx/serialization/json/JSON.kt,137,105
runtime/common/src/main/kotlin/kotlinx/serialization/json/JSONBuffers.kt,44,44
runtime/common/src/main/kotlin/kotlinx/serialization/protobuf/ProtoBuf.kt,3,3
runtime/common/src/test/kotlin/kotlinx/serialization/HierarchyTest.kt,39,0
runtime/common/src/test/kotlin/kotlinx/serialization/JSONTest.kt,6,1
runtime/common/src/test/kotlin/kotlinx/serialization/SerializeZooTest.kt,5,5
runtime/common/src/test/kotlin/kotlinx/serialization/TransientTests.kt,4,5
runtime/js/src/main/kotlin/kotlinx/io/Buffers.kt,1,1
runtime/js/src/main/kotlin/kotlinx/io/Streams.kt,2,2
runtime/js/src/main/kotlin/kotlinx/serialization/DynamicObjectParser.kt,12,21
runtime/js/src/main/kotlin/kotlinx/serialization/Serialization.kt,3,1
runtime/jvm/build.gradle,1,1
runtime/jvm/src/main/kotlin/kotlinx/serialization/Serialization.kt,2,1
runtime/jvm/src/test/kotlin/kotlinx/serialization/SerializeRecTest.kt,1,1
