filename,add_lines,del_lines
CHANGELOG.md,25,0
README.md,16,9
benchmark/build.gradle,40,0
benchmark/src/jmh/kotlin/kotlinx/benchmarks/SampleBenchmark.kt,25,0
build.gradle,9,7
example-js/build.gradle,2,2
example-jvm/build.gradle,2,2
example-jvm/pom.xml,2,2
gradle.properties,3,1
runtime/common/src/main/kotlin/kotlinx/serialization/Collections.kt,0,30
runtime/common/src/main/kotlin/kotlinx/serialization/Shorthands.kt,35,0
runtime/common/src/main/kotlin/kotlinx/serialization/protobuf/ProtoBuf.kt,2,2
runtime/common/src/test/kotlin/kotlinx/serialization/GenericTest.kt,28,13
runtime/common/src/test/kotlin/kotlinx/serialization/protobuf/AutoAssignIdsTest.kt,47,0
runtime/js/src/main/kotlin/kotlinx/serialization/Serialization.kt,4,4
runtime/jvm/src/main/kotlin/kotlinx/serialization/Serialization.kt,6,4
runtime/jvm/src/main/kotlin/kotlinx/serialization/internal/Polymorphic.kt,3,3
runtime/jvm/src/test/kotlin/kotlinx/serialization/features/SealedPolymorphismTest.kt,45,0
settings.gradle,2,0
