filename,add_lines,del_lines
.gitignore,3,0
README.md,16,5
build.gradle,6,6
docs/runtime_usage.md,1,1
example-js/build.gradle,3,3
example-js/gradle/wrapper/gradle-wrapper.properties,2,2
example-jvm/build.gradle,3,4
example-jvm/gradle/wrapper/gradle-wrapper.properties,1,1
example-jvm/pom.xml,7,2
example-jvm/settings.gradle,1,0
gradle/wrapper/gradle-wrapper.properties,1,1
runtime/common/src/main/kotlin/kotlinx/serialization/internal/CommonStrings.kt,26,1
runtime/common/src/main/kotlin/kotlinx/serialization/json/JSON.kt,339,280
runtime/js/.gitignore,0,1
runtime/js/src/main/kotlin/kotlinx/serialization/Serialization.kt,1,1
runtime/js/src/main/kotlin/kotlinx/serialization/internal/Strings.kt,22,2
runtime/js/src/test/kotlin/kotlinx/serialization/StringTest.kt,9,1
runtime/jvm/build.gradle,2,2
runtime/jvm/src/main/kotlin/kotlinx/serialization/internal/Strings.kt,21,1
