filename,add_lines,del_lines
CHANGELOG.md,25,0
README.md,14,10
build.gradle,30,27
docs/examples.md,5,1
docs/runtime_usage.md,4,0
example-ios/.gitignore,1,0
example-ios/build.gradle,67,13
example-ios/gradle/wrapper/gradle-wrapper.jar,0,0
example-ios/gradle/wrapper/gradle-wrapper.properties,6,1
example-ios/gradlew,172,0
example-ios/gradlew.bat,84,0
example-ios/ios-test-application.xcodeproj/project.pbxproj,377,2
example-ios/ios-test-application.xcodeproj/project.xcworkspace/contents.xcworkspacedata,7,0
example-ios/ios-test-application/AppDelegate.h,9,0
example-ios/ios-test-application/AppDelegate.m,43,0
example-ios/ios-test-application/Assets.xcassets/AppIcon.appiconset/Contents.json,93,0
example-ios/ios-test-application/Base.lproj/LaunchScreen.storyboard,25,0
example-ios/ios-test-application/Base.lproj/Main.storyboard,58,0
example-ios/ios-test-application/Info.plist,50,0
example-ios/ios-test-application/ViewController.h,11,0
example-ios/ios-test-application/ViewController.m,23,0
example-ios/ios-test-application/main.m,8,0
example-ios/settings.gradle,2,0
example-ios/src/main/kotlin/main.kt,91,1
example-js/build.gradle,3,3
example-jvm/build.gradle,3,3
example-jvm/pom.xml,3,3
example-native/build.gradle,62,12
example-native/gradle/wrapper/gradle-wrapper.jar,0,0
example-native/gradle/wrapper/gradle-wrapper.properties,23,1
example-native/gradlew,172,0
example-native/gradlew.bat,84,0
example-native/settings.gradle,2,0
example-native/src/App.kt,8,1
gradle.properties,12,7
gradle/bintray.gradle,35,0
gradle/wrapper/gradle-wrapper.jar,0,0
gradle/wrapper/gradle-wrapper.properties,19,20
gradlew,3,3
json/README.md,37,5
json/common/build.gradle,29,0
json/common/src/kotlinx/serialization/json/JsonAst.kt,261,261
json/common/src/kotlinx/serialization/json/JsonBuilder.kt,63,0
json/common/src/kotlinx/serialization/json/JsonElement.kt,337,2
json/common/src/kotlinx/serialization/json/JsonElements.kt,131,0
json/common/src/kotlinx/serialization/json/JsonParser.kt,319,0
json/common/src/kotlinx/serialization/json/JsonTreeParser.kt,82,4
json/common/src/kotlinx/serialization/json/StringOps.kt,71,1
json/common/test/kotlinx/serialization/json/CornerCaseTest.kt,53,2
json/common/test/kotlinx/serialization/json/JsonAstTest.kt,125,33
json/common/test/kotlinx/serialization/json/examples/Parsers.kt,36,14
json/common/test/kotlinx/serialization/json/examples/User.kt,113,50
json/common/test/kotlinx/serialization/json/examples/UserTest.kt,39,0
json/native/build.gradle,104,45
json/native/src/kotlinx/serialization/json/StringOps.kt,24,1
runtime/common/build.gradle,1,0
runtime/common/src/main/kotlin/kotlinx/serialization/Serialization.kt,4,2
runtime/common/src/main/kotlin/kotlinx/serialization/internal/CommonStrings.kt,0,25
runtime/common/src/main/kotlin/kotlinx/serialization/internal/SerialClassDescImpl.kt,9,3
runtime/common/src/main/kotlin/kotlinx/serialization/json/JSON.kt,43,366
runtime/common/src/main/kotlin/kotlinx/serialization/json/JsonAst.kt,289,289
runtime/common/src/main/kotlin/kotlinx/serialization/json/JsonParser.kt,306,306
runtime/common/src/main/kotlin/kotlinx/serialization/json/JsonTreeMapper.kt,271,19
runtime/common/src/main/kotlin/kotlinx/serialization/json/{JsonAst.kt,,
runtime/common/src/test/kotlin/kotlinx/serialization/JsonAstTest.kt,58,58
runtime/common/src/test/kotlin/kotlinx/serialization/SerialNamesTest.kt,62,0
runtime/common/src/test/kotlin/kotlinx/serialization/json/JsonAstTest.kt,62,62
runtime/common/src/test/kotlin/kotlinx/serialization/json/JsonTreeTest.kt,191,29
runtime/common/src/test/kotlin/kotlinx/serialization/{,,
runtime/js/build.gradle,14,2
runtime/js/src/main/kotlin/kotlinx/serialization/internal/Strings.kt,0,20
runtime/js/src/main/kotlin/kotlinx/serialization/json/StringOpsImpl.kt,4,0
runtime/js/src/test/kotlin/kotlinx/serialization/StringTest.kt,1,1
runtime/jvm/build.gradle,1,0
runtime/jvm/src/main/kotlin/kotlinx/serialization/internal/Strings.kt,0,20
runtime/jvm/src/main/kotlin/kotlinx/serialization/json/StringOpsImpl.kt,4,0
runtime/jvm/src/test/kotlin/kotlinx/serialization/formats/json/JsonTreeAndMapperTest.kt,105,6
settings.gradle,8,3
{runtime/common/src/main/kotlin,,
{runtime/common/src/test/kotlin,,
