filename,add_lines,del_lines
benchmark/build.gradle,14,0
build.gradle,23,1
buildSrc/build.gradle.kts,11,1
core/commonMain/src/kotlinx/serialization/Serializers.kt,1,7
core/commonMain/src/kotlinx/serialization/internal/Platform.common.kt,0,1
core/commonMain/src/kotlinx/serialization/internal/PluginHelperInterfaces.kt,0,1
core/commonMain/src/kotlinx/serialization/internal/Primitives.kt,0,1
core/commonMain/src/kotlinx/serialization/internal/Tuples.kt,0,1
core/commonMain/src/kotlinx/serialization/modules/SerializersModule.kt,0,1
core/commonTest/src/kotlinx/serialization/PolymorphismTestData.kt,0,1
core/commonTest/src/kotlinx/serialization/UmbrellaTypes.kt,0,1
core/jsMain/src/kotlinx/serialization/internal/Platform.kt,2,2
core/nativeMain/src/kotlinx/serialization/internal/Platform.kt,3,2
core/nativeTest/src/kotlinx/serialization/test/CurrentPlatform.kt,0,2
docs/builtin-classes.md,2,0
docs/polymorphism.md,2,0
docs/value-classes.md,4,4
dokka/moduledoc.md,7,0
formats/README.md,9,8
formats/cbor/commonTest/src/kotlinx/serialization/PolymorphismTestData.kt,0,1
formats/hocon/build.gradle,12,0
formats/json-okio/build.gradle.kts,15,0
formats/json-okio/dokka/okio.package.list,550,0
formats/json-tests/commonTest/src/kotlinx/serialization/PolymorphismTestData.kt,0,1
formats/json-tests/commonTest/src/kotlinx/serialization/SerializersLookupTest.kt,38,0
formats/json-tests/commonTest/src/kotlinx/serialization/UmbrellaTypes.kt,0,1
formats/json-tests/commonTest/src/kotlinx/serialization/json/polymorphic/JsonTreeDecoderPolymorphicTest.kt,43,0
formats/json-tests/commonTest/src/kotlinx/serialization/json/polymorphic/PolymorphicClasses.kt,0,3
formats/json-tests/nativeTest/src/kotlinx/serialization/test/CurrentPlatform.kt,0,3
formats/json/commonMain/src/kotlinx/serialization/json/JsonElement.kt,0,2
formats/json/commonMain/src/kotlinx/serialization/json/internal/JsonNamesMap.kt,0,2
formats/json/commonMain/src/kotlinx/serialization/json/internal/StreamingJsonEncoder.kt,0,1
formats/json/commonMain/src/kotlinx/serialization/json/internal/StringOps.kt,0,2
formats/json/commonMain/src/kotlinx/serialization/json/internal/TreeJsonDecoder.kt,9,6
formats/json/jvmMain/src/kotlinx/serialization/json/internal/CharsetReader.kt,2,1
formats/protobuf/commonMain/src/kotlinx/serialization/protobuf/internal/SuppressAnimalSniffer.kt,14,0
formats/protobuf/commonMain/src/kotlinx/serialization/protobuf/schema/ProtoBufSchemaGenerator.kt,1,0
formats/protobuf/commonTest/src/kotlinx/serialization/PolymorphismTestData.kt,0,1
formats/protobuf/nativeTest/src/kotlinx/serialization/test/CurrentPlatform.kt,0,4
gradle.properties,1,1
gradle/configure-source-sets.gradle,9,0
gradle/dokka.gradle,7,0
gradle/native-targets.gradle,16,7
guide/build.gradle,11,0
