filename,add_lines,del_lines
CHANGELOG.md,18,0
README.md,4,4
core/api/kotlinx-serialization-core.api,8,0
core/commonMain/src/kotlinx/serialization/descriptors/ContextAware.kt,2,1
core/commonMain/src/kotlinx/serialization/encoding/Encoding.kt,29,0
core/commonMain/src/kotlinx/serialization/internal/CollectionSerializers.kt,15,15
core/commonMain/src/kotlinx/serialization/modules/PolymorphicModuleBuilder.kt,42,9
core/commonMain/src/kotlinx/serialization/modules/SerializersModule.kt,26,9
core/commonMain/src/kotlinx/serialization/modules/SerializersModuleBuilders.kt,42,11
core/commonMain/src/kotlinx/serialization/modules/SerializersModuleCollector.kt,37,4
core/commonTest/src/kotlinx/serialization/SealedGenericClassesTest.kt,43,0
core/commonTest/src/kotlinx/serialization/modules/ModuleBuildersTest.kt,3,3
docs/polymorphism.md,106,4
docs/serialization-guide.md,1,0
formats/json/api/kotlinx-serialization-json.api,10,0
formats/json/commonMain/src/kotlinx/serialization/json/internal/JsonTreeReader.kt,6,4
formats/json/commonMain/src/kotlinx/serialization/json/internal/PolymorphismValidator.kt,9,2
formats/json/commonMain/src/kotlinx/serialization/json/internal/lexer/AbstractJsonLexer.kt,24,14
formats/json/commonMain/src/kotlinx/serialization/json/internal/lexer/StringJsonLexer.kt,5,1
formats/json/commonTest/src/kotlinx/serialization/EncodingCollectionsTest.kt,27,0
formats/json/commonTest/src/kotlinx/serialization/PolymorphismTestData.kt,2,0
formats/json/commonTest/src/kotlinx/serialization/features/PolymorphismTest.kt,54,7
formats/json/commonTest/src/kotlinx/serialization/json/JsonUnicodeTest.kt,5,19
formats/json/commonTest/src/kotlinx/serialization/test/TestHelpers.kt,19,1
formats/json/jvmMain/src/kotlinx/serialization/json/JvmStreams.kt,103,1
formats/json/jvmMain/src/kotlinx/serialization/json/internal/JsonIterator.kt,99,0
formats/json/jvmMain/src/kotlinx/serialization/json/internal/JsonLexerJvm.kt,4,4
formats/json/jvmTest/src/kotlinx/serialization/features/JsonJvmStreamsTest.kt,24,4
formats/json/jvmTest/src/kotlinx/serialization/features/JsonStreamFlowTest.kt,148,10
gradle.properties,2,2
gradle/kover.gradle,10,8
guide/example/example-poly-19.kt,1,1
guide/example/example-poly-20.kt,74,0
guide/test/PolymorphismTest.kt,7,0
integration-test/gradle.properties,1,1
