filename,add_lines,del_lines
README.md,61,18
RELEASING.md,3,1
benchmark/build.gradle,0,3
benchmark/src/jmh/kotlin/kotlinx/benchmarks/ProtoBaseline.kt,43,0
build.gradle,2,5
docs/custom_serializers.md,12,9
docs/json_transformations.md,254,53
docs/runtime_usage.md,6,4
formats/cbor/commonMain/src/kotlinx/serialization/cbor/Cbor.kt,46,44
formats/cbor/commonMain/src/kotlinx/serialization/cbor/ExceptionUtils.kt,18,0
formats/cbor/commonMain/src/kotlinx/serialization/cbor/InternalHexConverter.kt,51,51
formats/cbor/commonTest/src/kotlinx/serialization/TestUtilities.kt,4,6
formats/cbor/commonTest/src/kotlinx/serialization/cbor/CborPolymorphismTest.kt,2,2
formats/cbor/commonTest/src/kotlinx/serialization/cbor/CborReaderTest.kt,4,5
formats/cbor/commonTest/src/kotlinx/serialization/cbor/CborRootLevelNullsTest.kt,2,2
formats/cbor/commonTest/src/kotlinx/serialization/cbor/SampleClasses.kt,2,2
formats/cbor/jvmTest/src/kotlinx/serialization/cbor/CborCompatibilityTest.kt,2,1
formats/cbor/jvmTest/src/kotlinx/serialization/cbor/CborWriterSpecTest.kt,7,10
formats/cbor/{commonMain/src/kotlinx/serialization/cbor/InternalHexConverter.kt,,
formats/config/src/main/kotlin/kotlinx/serialization/config/ConfigReader.kt,179,0
formats/config/src/main/kotlin/org/jetbrains/kotlinx/serialization/config/ConfigParserConfiguration.kt,14,14
formats/config/src/main/kotlin/org/jetbrains/kotlinx/serialization/config/ConfigReader.kt,27,195
formats/config/src/main/kotlin/org/jetbrains/kotlinx/serialization/config/Migrations.kt,15,0
formats/config/src/main/kotlin/{org/jetbrains,,
formats/config/src/test/kotlin/org/jetbrains/kotlinx/serialization/config/ConfigParserNamingConventionTest.kt,58,58
formats/config/src/test/kotlin/org/jetbrains/kotlinx/serialization/config/ConfigParserObjectsTest.kt,8,165
formats/config/src/test/kotlin/{org/jetbrains,,
formats/properties/commonMain/src/kotlinx/serialization/Properties.kt,34,29
formats/properties/commonTest/src/kotlinx/serialization/PropertiesTest.kt,2,1
formats/protobuf/commonMain/src/kotlinx/serialization/protobuf/ProtoBuf.kt,48,39
formats/protobuf/commonMain/src/kotlinx/serialization/protobuf/ProtoTypes.kt,12,12
formats/protobuf/commonTest/src/kotlinx/serialization/HexConverter.kt,18,0
formats/protobuf/commonTest/src/kotlinx/serialization/TestUtils.kt,3,4
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/AutoAssignIdsTest.kt,3,16
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/ByteArraySerializerTest.kt,4,4
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/CustomSerializersProtobufTest.kt,4,5
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/CustomizedSerializableTestClasses.kt,2,1
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/ProtobufMissingFieldsTest.kt,19,15
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/ProtobufUnionEnumTest.kt,2,3
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/SerializableTestClasses.kt,2,14
formats/protobuf/jvmTest/src/kotlinx/serialization/protobuf/FormatConverterHelpers.kt,5,18
gradle.properties,2,2
integration-test/gradle.properties,2,2
integration-test/src/commonMain/kotlin/sample/Helpers.kt,0,139
integration-test/src/commonTest/kotlin/sample/JsonTest.kt,6,6
integration-test/src/jvmTest/kotlin/sample/SampleTestsJVM.kt,3,8
runtime/commonMain/src/kotlinx/serialization/Annotations.kt,3,3
runtime/commonMain/src/kotlinx/serialization/Coders.kt,0,270
runtime/commonMain/src/kotlinx/serialization/ContextSerializer.kt,8,10
runtime/commonMain/src/kotlinx/serialization/Core.kt,0,45
runtime/commonMain/src/kotlinx/serialization/Decoding.kt,575,38
runtime/commonMain/src/kotlinx/serialization/Deprecated.kt,0,37
runtime/commonMain/src/kotlinx/serialization/Descriptors.kt,1,57
runtime/commonMain/src/kotlinx/serialization/ElementWise.kt,55,187
runtime/commonMain/src/kotlinx/serialization/Encoding.kt,480,63
runtime/commonMain/src/kotlinx/serialization/KSerializer.kt,185,6
runtime/commonMain/src/kotlinx/serialization/Migrations.kt,167,94
