filename,add_lines,del_lines
README.md,24,44
build.gradle,,
docs/runtime_usage.md,9,14
examples/gradle.properties,1,1
formats/README.md,23,0
formats/cbor/build.gradle,1,73
formats/cbor/commonMain/src/kotlinx/serialization/cbor/Cbor.kt,6,6
formats/cbor/commonTest/src/kotlinx/serialization/TestUtilities.kt,1,1
formats/cbor/commonTest/src/kotlinx/serialization/cbor/CborReaderTest.kt,5,5
formats/cbor/commonTest/src/kotlinx/serialization/cbor/CborWriterTest.kt,4,4
formats/cbor/commonTest/src/kotlinx/serialization/cbor/SampleClasses.kt,2,2
formats/cbor/jvmTest/src/kotlinx/serialization/cbor/CborWriterSpecTest.kt,2,2
formats/cbor/nativeTest/src/kotlinx/serialization/JetShop.kt,126,0
formats/cbor/nativeTest/src/kotlinx/serialization/NativeTest.kt,22,0
formats/config/src/main/kotlin/org/jetbrains/kotlinx/serialization/config/ConfigReader.kt,24,21
formats/properties/build.gradle,31,0
formats/properties/commonMain/src/kotlinx/serialization/Mapper.kt,179,179
formats/properties/commonMain/src/kotlinx/serialization/Properties.kt,299,22
formats/properties/commonTest/src/kotlinx/serialization/MapperTest.kt,153,153
formats/properties/commonTest/src/kotlinx/serialization/PropertiesTest.kt,230,60
formats/properties/commonTest/src/kotlinx/serialization/{MapperTest.kt,,
formats/protobuf/build.gradle,1,73
formats/protobuf/commonMain/src/kotlinx/serialization/protobuf/ProtoBuf.kt,6,4
formats/protobuf/commonMain/src/kotlinx/serialization/protobuf/ProtoTypes.kt,4,3
formats/protobuf/commonMain/src/kotlinx/serialization/protobuf/{SerialId.kt,,
formats/protobuf/commonTest/src/kotlinx/serialization/PolymorphismTestData.kt,2,8
formats/protobuf/commonTest/src/kotlinx/serialization/TestUtils.kt,1,1
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/AutoAssignIdsTest.kt,1,1
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/ByteArraySerializerTest.kt,1,2
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/CustomizedSerializableTestClasses.kt,28,28
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/ProtobufMissingFieldsTest.kt,23,19
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/ProtobufPolymorphismTest.kt,2,7
formats/protobuf/commonTest/src/kotlinx/serialization/protobuf/ProtobufPrimitivesTest.kt,8,15
