"2023-07-13T06:39:19Z",,3806,"Feature Request: Introduce scanNotNull Function to Flow Extension","https://github.com/Kotlin/kotlinx.coroutines/issues/3806","OPEN","enhancement/flow"
"2023-07-04T12:33:22Z","2023-12-01T18:15:25Z",3800,"The first invocation of mockk exceeds the `runTest` default timeout","https://github.com/Kotlin/kotlinx.coroutines/issues/3800","CLOSED","enhancement/test"
"2023-06-19T17:24:47Z","2023-06-29T12:27:05Z",3782,"Ignore coroutines-based sequence and iterator builders in coroutine debugger","https://github.com/Kotlin/kotlinx.coroutines/issues/3782","CLOSED","enhancement/performance/debug"
"2023-06-09T12:49:03Z",,3775,"Combine several flows declaratively","https://github.com/Kotlin/kotlinx.coroutines/issues/3775","OPEN","enhancement/flow"
"2023-06-02T15:16:12Z","2023-09-14T16:32:40Z",3772,"Get rid of legacy JS backend in our build process","https://github.com/Kotlin/kotlinx.coroutines/issues/3772","CLOSED","enhancement/for 1.8"
"2023-06-01T16:50:18Z",,3770,"Gradually introduce SubclassOptInRequired into our codebase","https://github.com/Kotlin/kotlinx.coroutines/issues/3770","OPEN","enhancement/for 1.8"
"2023-05-23T22:53:00Z","2024-01-18T17:10:23Z",3759,"Add an overload of SharingStarted.WhileSubscribed taking kotlin.time.Duration values instead of Long","https://github.com/Kotlin/kotlinx.coroutines/issues/3759","CLOSED","enhancement/flow-sharing"
"2023-05-23T13:20:23Z",,3758,"Guidance on custom implementations of coroutine dispatchers, and usage of `Delay`","https://github.com/Kotlin/kotlinx.coroutines/issues/3758","OPEN","enhancement/question"
"2023-05-15T11:43:32Z",,3755,"Support `onUndeliveredElement` in produce","https://github.com/Kotlin/kotlinx.coroutines/issues/3755","OPEN","enhancement"
"2023-05-11T14:07:04Z",,3749,"Tracking issue for stabilization of `UnconfinedTestDispatcher`","https://github.com/Kotlin/kotlinx.coroutines/issues/3749","OPEN","enhancement/test"
"2023-05-02T09:47:27Z",,3732,"Flow.scan can accept a suspending function for providing its initial value","https://github.com/Kotlin/kotlinx.coroutines/issues/3732","OPEN","enhancement/flow"
"2023-04-26T06:29:53Z","2023-04-26T10:49:27Z",3726,"A proposal for Await without copy Context.","https://github.com/Kotlin/kotlinx.coroutines/issues/3726","CLOSED","enhancement/reactive"
"2023-04-13T09:35:49Z","2023-12-01T18:15:26Z",3713,"Add support for Kotlin/Wasm","https://github.com/Kotlin/kotlinx.coroutines/issues/3713","CLOSED","enhancement/for 1.8"
"2023-03-14T14:20:08Z",,3681,"Undispatched `collectLatest`","https://github.com/Kotlin/kotlinx.coroutines/issues/3681","OPEN","enhancement"
"2023-03-14T12:12:35Z",,3680,"A function to repeat an operation indefintely with a fixed delay.","https://github.com/Kotlin/kotlinx.coroutines/issues/3680","OPEN","enhancement"
"2023-03-09T18:03:46Z",,3670,"Disallow `Job` passed as context to `withContext`/`launch`/`async`","https://github.com/Kotlin/kotlinx.coroutines/issues/3670","OPEN","enhancement/design/structured concurrency"
"2023-03-07T16:30:49Z","2024-04-12T14:23:06Z",3664,"A proposal for `awaitAny` and `joinAny`","https://github.com/Kotlin/kotlinx.coroutines/issues/3664","CLOSED","enhancement"
"2023-03-06T12:29:29Z",,3660,"Investigate potential starvation scenario in CoroutineScheduler","https://github.com/Kotlin/kotlinx.coroutines/issues/3660","OPEN","bug/enhancement"
"2023-03-02T17:30:50Z","2023-04-19T14:22:37Z",3652,"Avoid synchronized section in CoroutineScheduler during internal pool growth","https://github.com/Kotlin/kotlinx.coroutines/issues/3652","CLOSED","enhancement"
"2023-02-28T06:43:49Z","2023-06-29T10:01:53Z",3648,"Ability to set DebugProbes.enableCreationStackTraces using system property","https://github.com/Kotlin/kotlinx.coroutines/issues/3648","CLOSED","enhancement/waiting for clarification/debug"
"2023-02-27T16:02:20Z","2023-05-12T15:55:13Z",3646,"Investigate whether we still need BeforeResumeCancelHandler","https://github.com/Kotlin/kotlinx.coroutines/issues/3646","CLOSED","enhancement"
"2023-02-21T17:35:01Z",,3635,"Graceful degradation of spinlock-like implementations during internal errors or system malfunction","https://github.com/Kotlin/kotlinx.coroutines/issues/3635","OPEN","enhancement"
"2023-02-14T11:29:24Z",,3626,"Rethink, consolidate and document Mutex's owner contract","https://github.com/Kotlin/kotlinx.coroutines/issues/3626","OPEN","bug/enhancement/design"
"2023-01-31T19:54:23Z","2023-05-03T09:33:52Z",3611,"Feature request: allow stacktrace recovery in production","https://github.com/Kotlin/kotlinx.coroutines/issues/3611","CLOSED","enhancement/debug"
"2023-01-25T21:12:58Z","2023-03-09T13:02:57Z",3601,"Support watchosDeviceArm64","https://github.com/Kotlin/kotlinx.coroutines/issues/3601","CLOSED","enhancement"
"2023-01-25T10:05:40Z",,3598,"Adding combine(...) methods to combine 6-10 flows","https://github.com/Kotlin/kotlinx.coroutines/issues/3598","OPEN","enhancement/flow"
"2023-01-06T03:21:42Z","2023-01-10T06:28:12Z",3579,"Replace Dispatchers.IO ","https://github.com/Kotlin/kotlinx.coroutines/issues/3579","CLOSED","enhancement"
"2023-01-03T16:30:14Z","2024-04-09T08:51:10Z",3574,"Investigate possibilities to extend darwin's Dispatcher.Default with priorities/QOS classes","https://github.com/Kotlin/kotlinx.coroutines/issues/3574","CLOSED","enhancement/use-case needed/native"
